country,county,unit_name,unit_uid,unit_code,unit _type
Kenya,Marsabit County,Saku Sub County,WILszL634oZ,KE_SubCounty_3107,Subcounty
Kenya,Samburu County,Samburu Central Sub County,EmQRGVtvWy3,KE_SubCounty_3199,Subcounty
Kenya,Samburu County,Samburu East Sub County,ldZ10N9unC9,KE_SubCounty_3197,Subcounty
Kenya,Samburu County,Samburu North Sub County,E2DGjZRlwbY,KE_SubCounty_3198,Subcounty
Kenya,Kwale County,Samburu Sub County,TnCu7j4XNj6,,Subcounty
Kenya,Busia County,Samia Sub County,NHRktMsAkO1,KE_SubCounty_2974,Subcounty
Kenya,Kisumu County,Seme Sub County,LRNmnMw1fBs,KE_SubCounty_3065,Subcounty
Kenya,Kakamega County,Shinyalu Sub County,sjlSPeRgl7d,KE_SubCounty_3012,Subcounty
Kenya,Kericho County,Sigowet/Soin Sub County,ScLzA7tQxrH,KE_SubCounty_3023,Subcounty
Kenya,Bungoma County,Sirisia Sub County,whWfFA9D7td,KE_SubCounty_2971,Subcounty
Kenya,Bomet County,Sotik Sub County,KyuSYunELJI,KE_SubCounty_2963,Subcounty
Kenya,Kisii County,South Mugirango Sub County,WHG67QCDRS9,KE_SubCounty_3060,Subcounty
Kenya,Uasin Gishu County,Soy Sub County,lmr1q6dTaso,KE_SubCounty_3232,Subcounty
Kenya,Nairobi County,Starehe Sub County,nKHlZyN0lt9,KE_SubCounty_3140,Subcounty
Kenya,Homa Bay County,Suba Central Sub County,MYSShwNcjzb,3265,Subcounty
Kenya,Homa Bay County,Suba South Sub County,HoRW5aISmiD,KE_SubCounty_2995,Subcounty
Kenya,Nakuru County,Subukia Sub County,zQEuNRaPYgE,KE_SubCounty_3160,Subcounty
Kenya,Turkana County,Suguta Sub County,m1X5Chs8cRL,,Subcounty
Kenya,Migori County,Suna East Sub County,nHEr5EciFh0,KE_SubCounty_3124,Subcounty
Kenya,Migori County,Suna West Sub County,VtuwXD7O1O9,KE_SubCounty_3123,Subcounty
Kenya,Wajir County,Tarbaj Sub County,fmNokBURXjM,KE_SubCounty_3241,Subcounty
Kenya,Taita Taveta County,Taveta Sub County,jNzRdAwjaQ1,KE_SubCounty_3209,Subcounty
Kenya,Busia County,Teso Central Sub County,iyOe3zltlp6,3276,Subcounty
Kenya,Busia County,Teso North Sub County,GpEIlwz3FvT,KE_SubCounty_2979,Subcounty
Kenya,Busia County,Teso South Sub County,EhchjCHkhJ9,KE_SubCounty_2978,Subcounty
Kenya,Nyeri County,Tetu Sub County,YT3tecc4atw,KE_SubCounty_3196,Subcounty
Kenya,Tharaka Nithi County,Tharaka North Sub County,ZNXf7qiVh3t,KE_SubCounty_3212,Subcounty
Kenya,Tharaka Nithi County,Tharaka South Sub County,Yz1V5Cx8CO2,KE_SubCounty_3211,Subcounty
Kenya,Kiambu County,Thika Town Sub County,YZAZ1a9MIvX,KE_SubCounty_3037,Subcounty
Kenya,Baringo County,Tiaty East Sub County,st4v8xfqgJf,KE_SubCounty_2958,Subcounty
Kenya,Baringo County,Tiaty West Sub County,Mk4bMOSMRTB,KE_SubCounty_3253,Subcounty
Kenya,Meru County,Tigania Central Sub County,NIVPdmQjQKg,KE_SubCounty_3261,Subcounty
Kenya,Meru County,Tigania East Sub County,U3lGZ71W9Te,KE_SubCounty_3114,Subcounty
Kenya,Meru County,Tigania West Sub County,Q4xAPhWUnYC,KE_SubCounty_3115,Subcounty
Kenya,Nandi County,Tinderet Sub County,NPYRMdqrK6L,KE_SubCounty_3172,Subcounty
Kenya,Bungoma County,Tongaren Sub County,orUwYD52An3,KE_SubCounty_2964,Subcounty
Kenya,Narok County,Transmara East Sub County,PGTkGnIAZuy,KE_SubCounty_3177,Subcounty
Kenya,Narok County,Transmara South Sub County,xAl2ixfcOFU,3275,Subcounty
Kenya,Narok County,Transmara West Sub County,Nb6e34jNGAq,KE_SubCounty_3178,Subcounty
Kenya,Uasin Gishu County,Turbo Sub County,KuprsuBe1l0,KE_SubCounty_3231,Subcounty
Kenya,Turkana County,Turkana Central Sub County,zd8rhYqGowE,KE_SubCounty_3223,Subcounty
Kenya,Turkana County,Turkana East Sub County,dr8gOvVAdiE,KE_SubCounty_3220,Subcounty
Kenya,Turkana County,Turkana North Sub County,mWpq607yRXh,KE_SubCounty_3225,Subcounty
Kenya,Turkana County,Turkana South Sub County,iTw0sFjlqZ2,KE_SubCounty_3221,Subcounty
Kenya,Turkana County,Turkana West Sub County,HK5SUCMQmsw,KE_SubCounty_3224,Subcounty
Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,KE_SubCounty_3205,Subcounty
Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,KE_SubCounty_3204,Subcounty
Kenya,Migori County,Uriri Sub County,fCInDXluNhx,KE_SubCounty_3122,Subcounty
Kenya,Vihiga County,Vihiga Sub County,OOF3UX4yOt7,KE_SubCounty_3237,Subcounty
Kenya,Taita Taveta County,Voi Sub County,yoGLpCTgjed,KE_SubCounty_3206,Subcounty
Kenya,Wajir County,Wajir East Sub County,uov0yFMw9Qm,KE_SubCounty_3242,Subcounty
Kenya,Wajir County,Wajir North Sub County,qsjAa8FE8OS,KE_SubCounty_3243,Subcounty
Kenya,Wajir County,Wajir South Sub County,U7KFQn3Up3o,KE_SubCounty_3238,Subcounty
Kenya,Wajir County,Wajir West Sub County,X98G0eIWdmP,KE_SubCounty_3240,Subcounty
Kenya,Bungoma County,Webuye East Sub County,f4AOiG8fYtn,KE_SubCounty_2967,Subcounty
Kenya,Bungoma County,Webuye West Sub County,aqYhbqKclsI,KE_SubCounty_2966,Subcounty
Kenya,West Pokot County,West Pokot Sub County,ylWg6VvADJE,KE_SubCounty_3247,Subcounty
Kenya,Nairobi County,Westlands Sub County,f1T0Ltob8VQ,KE_SubCounty_3155,Subcounty
Kenya,Taita Taveta County,Wundanyi Sub County,AM36DdkZ36Y,KE_SubCounty_3208,Subcounty
Kenya,Machakos County,Yatta Sub County,CeukNtGhW7J,KE_SubCounty_3097,Subcounty
